VBS_sample_id,contributor,country,location,collection_year,collection_month,latitude,longitude,date_of_collection,collection_context,collection_method,collection_time,collector_sample_id,sample_type,specimen_sex_partner,specimen_storage_partner,Lifestage,dna_extraction_method_partner,sample_type_received,body_part_lab,dna_extraction_method_lab,total_dna_lab,species_pcr,sequencing_pipeline,mean_cov,median_cov,modal_cov,mean_cov_2RL,median_cov_2RL,mode_cov_2RL,mean_cov_3RL,median_cov_3RL,mode_cov_3RL,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,pc_contam,LLR,sex_call,PCA_QC_outlier,FILTER_frac_genome_cov,FILTER_median_cov,FILTER_contamination,FILTER_nosexcall,FILTER_divergence,FILTER_pca,sample_set,adm_level,geographic_cohort,geographic_cohort_code,geographic_cohort_colour,geographic_cohort_shape,PCA_cohort,PCA_cohort_colour,karyotype_3La,karyotype_3Ra,karyotype_3Rb,karyotype_2Ra,karyotype_2Rh,karyotype_2Rt,mitochondrial_id,subset_1,subset_2,subset_3,heterozygous_sites,raw_total_sequences,reads_mapped,reads_mapped_and_paired,reads_unmapped,reads_properly_paired,reads_paired,reads_duplicated,reads_MQ0,non-primary_alignments,total_length,bases_mapped,bases_mapped_(cigar),bases_duplicated,mismatches,error_rate,average_quality,insert_size_average,insert_size_standard_deviation,inward_oriented_pairs,outward_oriented_pairs,pairs_with_other_orientation,pairs_on_different_chromosomes,ena_run_accessions
VBS17202,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,16,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,144.7,fun,STD,41.03,40,41,41.27,41,41,41.06,40,40,39.73,39,40,0.943,0.01933,1.55,2559.196,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2750675,87313546,86527013,86162860,786533,79492316,87313546,8912868,18031028,5206357,13184345446,13065578963,12525286995,1345843068,356983986,0.0285,36.7,666.9,1170,39276563,1266250,389408,1991932,"ERR2659574,ERR2659609,ERR2659644"
VBS17203,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,17,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,157.2,fun,STD,36.8,36,36,37.09,37,37,36.88,36,36,35.13,35,36,0.942,0.01873,1.395,1861.212,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2774758,73517612,71267028,70577122,2250584,65465004,73517612,6852160,12185652,4041294,11101159412,10761321228,10262340412,1034676160,283244219,0.0276,37.3,644.3,1164.7,32490142,863904,341015,1489912,"ERR2659289,ERR2659324,ERR2659359"
VBS17204,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,20,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,165.5,fun,STD,33.31,33,33,33.53,33,33,33.41,33,33,31.84,32,33,0.941,0.01931,1.661,2237.68,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/+,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2774736,69420234,68033871,67516180,1386363,62372886,69420234,5446584,14300436,3948563,10482455334,10273114521,9796376215,822434184,283200496,0.0289,36.7,656.9,1160.8,30847953,945145,313462,1545439,"ERR2659826,ERR2659861,ERR2659896"
VBS17205,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,22,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,136.1,fun,STD,37.94,37,37,38.23,38,38,37.98,37,37,36.35,36,37,0.94,0.01935,1.345,1811.627,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2763101,80460074,79089484,78634896,1370590,72906772,80460074,8722666,16189208,4511342,12149471174,11942512084,11440889138,1317122566,314531329,0.0275,37.4,617.6,1139.5,36058830,1073203,347384,1719102,"ERR2659297,ERR2659332,ERR2659367"
VBS17206,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,23,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,231.2,fun,STD,35.17,35,35,35.37,35,35,35.24,35,35,33.87,34,35,0.94,0.01925,1.147,1360.073,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2861244,76430822,75273124,74883786,1157698,69560792,76430822,8964536,15974706,4165030,11541054122,11366241724,10907469443,1353644936,287520420,0.0264,37.8,596.8,1122.4,34380023,998018,316333,1624099,"ERR2659409,ERR2659444,ERR2659479"
VBS17207,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,24,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,208.8,fun,STD,35.99,35,35,36.2,36,36,36.13,35,35,34.48,34,35,0.94,0.01925,1.745,2938.444,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3Rb/b,2Ra/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2669993,80198020,75968017,74640084,4230003,68758864,80198020,8505903,15700495,4725354,12109901020,11471170567,10801461922,1284391353,297993574,0.0276,37.5,631,1205.1,33928163,1122680,380379,1752581,"ERR2659310,ERR2659345,ERR2659380"
VBS17208,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,26,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,173.8,fun,STD,35.21,35,35,35.41,35,35,35.32,35,35,33.82,34,34,0.942,0.01926,1.649,2128.132,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2809702,72483040,71715017,71358474,768023,66046242,72483040,5984575,14885709,4111975,10944939040,10828967567,10362411865,903670825,296804110,0.0286,36.8,646.2,1154.8,32641355,996122,328580,1598628,"ERR2659830,ERR2659865,ERR2659900"
VBS17209,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,27,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,141,fun,STD,34.45,34,34,34.6,34,34,34.52,34,34,33.42,33,34,0.942,0.01897,1.617,2106.883,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/a,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2714488,74769308,69157112,67765450,5612196,62301050,74769308,5472098,14130195,4238173,11290165508,10442723912,9807869532,826286798,278843969,0.0284,36.8,674,1221.3,30886297,897115,357890,1630678,"ERR2659816,ERR2659851,ERR2659886"
VBS17210,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,28,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,186.3,fun,STD,31.46,31,31,31.69,31,31,31.56,31,31,29.96,30,31,0.941,0.01879,1.643,1952.134,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3R+/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2733524,64755560,63464124,62930928,1291436,58311670,64755560,4416717,13823000,3611973,9778089560,9583082724,9133219132,666924267,253681277,0.0278,36.8,647,1139,28932546,744199,286898,1412038,"ERR2659811,ERR2659846,ERR2659881"
VBS17212,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,31,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,222,fun,STD,30.19,29,29,30.35,30,29,30.27,29,29,29.09,28,29,0.937,0.01921,1.426,1425.07,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/+,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2797937,81120598,65285833,62945330,15834765,58415320,81120598,8106653,14913588,3697272,12249210298,9858160783,9156826739,1224104603,244063636,0.0267,37.7,577.1,1153.9,28688278,961583,291818,1363311,"ERR2659285,ERR2659320,ERR2659355"
VBS17213,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,30,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,113.4,fun,STD,32.86,32,33,33.1,33,33,32.95,32,32,31.36,31,32,0.941,0.01889,1.581,1926.42,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,N,2839499,66492240,65628215,65236658,864025,60489048,66492240,5187916,13040232,3685829,10040328240,9909860465,9484902290,783375316,268049865,0.0283,37,627.3,1135.9,29842398,944266,282817,1440060,"ERR2659834,ERR2659869,ERR2659904"
VBS17214,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,32,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,188.4,fun,STD,36.78,36,36,37,37,36,36.81,36,36,35.54,35,36,0.939,0.01891,1.29,1821.094,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/+,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2710015,76332724,75732239,75426522,600485,69989126,76332724,7874007,15273451,4294635,11526241324,11435568089,10975497037,1188975057,297864597,0.0271,37.3,614.9,1123.4,34643164,983720,326857,1636051,"ERR2659300,ERR2659335,ERR2659370"
VBS17215,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,33,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,147.4,fun,STD,36.76,36,36,37.04,37,37,36.86,36,36,35.01,35,36,0.941,0.0188,1.405,1808.805,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3R+/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2730055,75277708,73904917,73419546,1372791,68343280,75277708,6000782,15186573,3963229,11366933908,11159642467,10696183686,906118082,294707102,0.0276,37.1,604.3,1109.3,33833113,924821,310951,1534584,"ERR2659837,ERR2659872,ERR2659907"
VBS17216,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,34,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,149.7,fun,STD,36.22,36,36,36.55,36,36,36.21,36,36,34.66,35,35,0.942,0.0188,1.554,2021.993,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3Rb/b,2R+/+,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2810786,75758774,74643895,74188546,1114879,68648926,75758774,6660852,15392558,4322269,11439574874,11271228145,10772347536,1005788652,304528292,0.0283,36.8,644.4,1158.5,33943979,1038949,329556,1650455,"ERR2659839,ERR2659874,ERR2659909"
VBS17217,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,35,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,174.4,fun,STD,32.46,32,32,32.61,32,32,32.57,32,32,31.36,31,31,0.941,0.01925,1.545,1699.45,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3R+/a,3R+/b,2R+/a,2R+/+,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2848994,68415770,67796550,67460878,619220,62408552,68415770,6410225,14545117,3805010,10330781270,10237279050,9798404404,967943975,272787500,0.0278,36.9,641.2,1157.6,30890964,900842,308242,1524936,"ERR2659723,ERR2659758,ERR2659793"
VBS17218,Charles Wondji,Cameroon,Mibellon,2014,8,6.0833333,11.5,1/8/2014,Indoor,Indoor resting catch,06:30 to 10:00,36,Extracted DNA,Female,-20 freezer,Wild caught adult,Qiagen DNeasy,Extracted DNA,,Qiagen DNeasy,207.4,fun,STD,31.65,31,31,31.82,31,31,31.66,31,31,30.8,30,31,0.941,0.01875,1.441,1694.88,F,,PASS,PASS,PASS,PASS,PASS,PASS,1231-VO-MULTI-WONDJI-VMF00043,"Adamawa, Mayo-Banyo",Cameroon_Adamawa,CM,#d62728,circle,Equatorial,#d62728,3La/a,3Ra/a,3Rb/b,2R+/a,2R+/h,2R+/+,funestus-lineageI-clusterB,Y,Y,Y,2794067,69261602,66885976,66250416,2375626,61288394,69261602,6477875,14700396,3757555,10458501902,10099782376,9624797396,978159125,258044411,0.0268,37.2,639.6,1152.4,30362570,850048,298340,1510851,"ERR2659301,ERR2659336,ERR2659371"
